DepTime,ArrTime,UniqueCarrier,FlightNum,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut
720,825,AA,460,-10,0,IAH,DFW,224,12,10
1958,2106,AA,533,-14,-7,IAH,DFW,224,13,11
1656,1758,AA,1121,13,26,IAH,DFW,224,9,12
1756,2112,AA,1294,-3,1,IAH,MIA,964,9,14
930,1030,AA,1436,5,20,IAH,DFW,224,4,13
1008,1321,AA,1700,-19,-12,IAH,MIA,964,6,15
1018,1323,AA,1700,-17,-2,IAH,MIA,964,6,8
1827,2107,AS,731,-3,2,IAH,SEA,1874,4,16
1845,2132,AS,731,22,20,IAH,SEA,1874,8,11
659,1100,B6,620,-19,-1,HOU,JFK,1428,3,12
1544,1954,B6,624,-6,9,HOU,JFK,1428,14,10
924,1413,CO,1,23,-1,IAH,HNL,3904,6,31
1825,1925,CO,5,-9,0,IAH,MSY,305,3,15
1554,1650,CO,6,-5,-1,IAH,SAT,191,2,14
1522,1632,CO,33,-2,-3,IAH,MSY,305,7,21
1536,1635,CO,35,7,1,IAH,AUS,140,7,20
1916,2103,CO,47,2,6,IAH,LAX,1379,8,20
747,936,CO,52,5,2,IAH,LAX,1379,11,17
1803,1927,CO,59,15,28,IAH,DEN,862,12,16
1206,1631,CO,60,-2,1,IAH,EWR,1400,29,11
1425,1848,CO,62,-9,0,IAH,EWR,1400,16,24
607,1022,CO,89,2,7,IAH,EWR,1400,6,14
1041,1449,CO,106,-26,-4,IAH,EWR,1400,8,18
728,856,CO,128,18,-2,IAH,MSY,305,6,33
1433,1629,CO,137,14,5,IAH,LAX,1379,10,27
1422,1647,CO,146,64,77,IAH,ORD,925,15,16
1750,1921,CO,150,6,15,IAH,ONT,1334,5,17
1442,1842,CO,158,7,-3,IAH,DCA,1208,4,34
851,1052,CO,170,-27,1,IAH,SFO,1635,6,10
1919,2231,CO,190,-12,-1,IAH,MIA,964,5,20
1155,1324,CO,197,3,0,IAH,LAS,1222,8,29
726,915,CO,199,8,1,IAH,DEN,862,12,29
1259,1554,CO,206,-10,-1,IAH,TPA,787,4,20
2116,2344,CO,209,-15,-7,IAH,PDX,1825,4,8
1551,2009,CO,210,-15,1,IAH,EWR,1400,16,16
1024,1621,CO,212,-4,9,IAH,SJU,2007,6,16
